Terms                                 ,Genes ,ZIPF_Score ,Articles ,Freq_Term ,Publications
co-localized                          ,    8 ,      3.39 ,      10 ,       11 ,"32144752,12063187,24733397,30459560,31506724,19170760,11375989,15750338,16884685,31272713"
hepatocellular                        ,   10 ,      2.28 ,      11 ,       11 ,"26487969,29145165,33760186,33039146,29557391,25547487,30787051,24704991,24676454,35122182,34491544"
isotope                               ,   12 ,      3.15 ,      10 ,       11 ,"26487969,26801685,12754519,19253283,22757692,32549918,33240452,33764077,26840285,12853451"
facial                                ,    6 ,      4.1  ,       7 ,       11 ,"35970861,21086490,21270050,23806211,29702669,25281006,34273022"
gnathostome                           ,    2 ,      0.0  ,       3 ,       11 ,"16510503,11172008,30297736"
sequester                             ,    8 ,      2.54 ,      11 ,       11 ,"11906214,11713533,29715315,10848969,19369144,33888601,22783226,32494006,15190068,9990006,20018887"
circmyof                              ,    1 ,      0.0  ,       1 ,       11 ,35474406
otocephaly                            ,    1 ,      0.0  ,       3 ,       11 ,"22577225,24167467,31969185"
histological                          ,    6 ,      2.58 ,       9 ,       11 ,"30797919,30928384,23139843,28988713,35220830,28393127,24169046,22912857,31031728"
g1s                                   ,    5 ,      0.0  ,       6 ,       11 ,"30928384,11514619,33039146,22967762,16157662,11976098"
mir-223-5p                            ,    1 ,      2.56 ,       1 ,       11 ,34306176
ihc                                   ,    5 ,      2.35 ,       8 ,       11 ,"34559577,34016745,35203426,28768491,31886120,33349268,28179017,30988666"
elucidation                           ,    8 ,      2.29 ,      11 ,       11 ,"31845906,24147004,19102727,26783066,32796722,18440095,10430027,33492732,28367977,20381631,22046331"
intrinsically                         ,    7 ,      3.06 ,       8 ,       11 ,"27957775,32694517,10913173,30717652,17893145,18973346,29186753,31620020"
placode                               ,    2 ,      1.1  ,       6 ,       11 ,"22564795,18057103,15672396,23571216,19007769,17239227"
nascent                               ,    9 ,      3.08 ,      10 ,       11 ,"34143204,33208942,30185885,18775702,21394738,33794982,23315540,25278503,23604074,12773398"
tnf-α                                 ,    5 ,      2.72 ,       6 ,       11 ,"27660103,31408947,33349268,33269646,29724888,29518406"
immature                              ,    6 ,      3.66 ,       9 ,       11 ,"19956613,17335796,12413904,12815282,19748705,24608635,3500230,33553005,16189181"
cranial                               ,    2 ,      2.99 ,       9 ,       11 ,"16115867,9467018,22318231,25954033,18158147,11172008,19007769,27335460,25281006"
reconstitute                          ,    7 ,      2.37 ,      10 ,       11 ,"12145306,11555662,19458327,15590677,10393184,27203244,29715315,32029631,9452424,22046314"
distal-less                           ,    1 ,      3.27 ,      11 ,       11 ,"19497851,9467018,18322277,33215805,30551440,25954033,25815730,26332462,35909540,27335460,21116826"
lymphoma                              ,    6 ,      3.27 ,       7 ,       11 ,"19497851,33686586,17537995,21734034,33299887,33764077,26121143"
imprint                               ,    2 ,      3.38 ,       2 ,       11 ,"18498429,29157910"
heterologous                          ,    6 ,      1.85 ,       9 ,       11 ,"27416760,19772651,32735576,28193846,10920196,7590226,30224358,17289661,2656688"
foxi1                                 ,    1 ,      0.0  ,       2 ,       11 ,"23571216,17239227"
ubiquitinated                         ,    4 ,      1.09 ,       5 ,       11 ,"35220830,33140506,31191455,16234850,19188440"
placenta                              ,    3 ,      3.09 ,       4 ,       11 ,"21937107,25046226,16540541,31408947"
implantation                          ,    4 ,      3.01 ,       5 ,       11 ,"26512061,31638262,28539318,34073234,28666451"
micrornas                             ,    7 ,      2.24 ,      10 ,       11 ,"29901112,24147004,28409330,20218812,22617447,28356383,30375416,31620020,35120969,25918244"
mir‑339‑5p                            ,    1 ,      2.54 ,       1 ,       11 ,29901112
tooth                                 ,    5 ,      4.08 ,       6 ,       11 ,"29745813,25815730,32112990,33284322,24623079,28934368"
idlx5i                                ,    1 ,      0.0  ,       2 ,       11 ,"35681437,35909540"
sensitize                             ,    9 ,      2.07 ,       9 ,       11 ,"17178712,32959027,26394147,22118625,25736597,32296580,33597172,17909037,15371445"
helical                               ,    4 ,      2.81 ,       6 ,       11 ,"20538007,17893145,18973346,10430027,7922339,27238969"
iav                                   ,    1 ,      1.33 ,       4 ,       11 ,"31217244,33045004,32231671,31363119"
inhat                                 ,    1 ,      0.0  ,       4 ,       11 ,"11163245,11830591,17557114,14964690"
nm23-h1                               ,    1 ,      0.0  ,       2 ,       11 ,"12628186,16818237"
cpd1                                  ,    1 ,      0.0  ,       5 ,       11 ,"15895553,11430900,14964690,20844742,21049064"
genbank                               ,    3 ,      1.91 ,       9 ,       11 ,"11430900,15146458,25825233,15901252,16525935,18973667,17449658,10704594,9888818"
kinetics                              ,    4 ,      2.93 ,       8 ,       11 ,"31363119,28632987,29235198,23348515,17555569,20381631,20211754,17409354"
ribonucleoproteins                    ,    5 ,      1.1  ,       9 ,       11 ,"24965446,18984161,23333303,21516107,18621711,23825951,19596686,21667333,17932509"
interferon                            ,    5 ,      2.76 ,       6 ,       11 ,"24965446,6548414,30259240,35013429,31701124,11971985"
untreated                             ,    8 ,      3.33 ,       9 ,       11 ,"25116916,26191006,30858501,23456891,2369125,27303729,24204595,29879216,14730085"
pyruvate                              ,    6 ,      2.47 ,       9 ,       11 ,"25096996,31870285,31133884,31234227,35122182,20003296,32708393,31671511,31851938"
sfrp1                                 ,    1 ,      0.0  ,       4 ,       11 ,"25046226,19188438,9739103,34016745"
dismutase                             ,    5 ,      1.98 ,      11 ,       11 ,"33726573,21498770,29176891,19862763,28391978,21562855,18990192,2895105,22163185,22834699,33271965"
tubular                               ,    4 ,      3.24 ,       5 ,       11 ,"32112990,24001019,23148318,32867742,28324005"
cow                                   ,    3 ,      4.14 ,       4 ,       11 ,"12407145,27412694,21394738,32448582"
nak-atpase                            ,    1 ,      2.28 ,       5 ,       11 ,"14579377,8798450,9457675,12558975,27930687"
intramembrane                         ,    2 ,      0.0  ,       3 ,       11 ,"30733281,17965014,19114711"
posttranscriptional                   ,    6 ,      1.17 ,      10 ,       11 ,"22416126,6548414,32296580,32748085,24027268,25418729,23321469,22912857,21173025,18633122"
dimeric                               ,    5 ,      1.81 ,       9 ,       11 ,"9756848,10430027,29235198,28765283,17974571,16271889,19345687,8041739,19120453"
per1                                  ,    2 ,      1.27 ,       3 ,       11 ,"15860628,21680841,8914536"
augment                               ,    8 ,      3.19 ,      11 ,       11 ,"15860628,31904168,20074381,29954941,33174841,17560550,28367141,25907681,27393003,18990192,12622818"
hexim1                                ,    2 ,      0.0  ,       5 ,       11 ,"28712728,19883659,16109377,24515107,17452463"
ded                                   ,    1 ,      2.75 ,       1 ,       11 ,34324523
cyct1                                 ,    1 ,      0.0  ,       5 ,       11 ,"19364821,15563843,10364329,9832504,24515107"
methyl                                ,    8 ,      3.22 ,       9 ,       11 ,"24515107,35892672,3356687,12093748,28555368,18636753,8344960,12084836,33841819"
ser2                                  ,    2 ,      0.0  ,       3 ,       11 ,"17452463,21750984,20018887"
genistein                             ,    2 ,      1.57 ,       2 ,       11 ,"26783066,24552547"
viverrini                             ,    1 ,      0.0  ,       2 ,       11 ,"34337171,18538872"
dkd                                   ,    1 ,      1.06 ,       1 ,       11 ,35203426
leishmaniasis                         ,    4 ,      2.18 ,       8 ,       11 ,"31355153,29176891,24699271,32295617,32628683,34466438,29554571,33044977"
cryo-em                               ,    3 ,      2.61 ,      10 ,       11 ,"16244660,26912367,28502770,33007253,28781166,12692531,14976550,17446867,17082187,28892042"
tubule                                ,    6 ,      2.07 ,       9 ,       11 ,"17873332,12135771,12729900,31315980,32053184,21149303,26840285,22025680,16189181"
itm2bs                                ,    1 ,      0.0  ,       3 ,       11 ,"14741382,12082633,12442332"
bri3                                  ,    1 ,      0.0  ,       2 ,       11 ,"26515131,19114711"
fbd                                   ,    1 ,      1.53 ,       5 ,       11 ,"10391242,10526337,15983050,18440095,30890756"
adan                                  ,    1 ,      2.3  ,       6 ,       11 ,"10781099,14656991,16091362,18440095,23418567,21873424"
neuroblastoma                         ,    2 ,      2.37 ,       7 ,       11 ,"14656991,6548414,2169566,9039501,17567946,17888914,29900121"
lipopolysaccharide                    ,    7 ,      2.04 ,      10 ,       11 ,"30459560,33255149,33490244,27646125,33569461,33269646,19995576,31374363,17913528,28068390"
nodule                                ,    4 ,      2.31 ,       4 ,       11 ,"21509594,31134003,26503705,23267362"
immunological                         ,    7 ,      2.55 ,      10 ,       11 ,"2160982,15557202,27412694,22125433,10574923,35013429,28953965,29554571,14622290,17098851"
pp2a-b55δ                             ,    1 ,      0.0  ,       3 ,       11 ,"21164013,33758202,23781026"
ivermectin                            ,    2 ,      2.08 ,       2 ,       11 ,"32549918,33240452"
excitable                             ,    1 ,      2.74 ,      11 ,       11 ,"11906164,11535622,12135771,12729900,10949023,19095005,10891348,34231238,14559359,17904530,31337710"
jps                                   ,    1 ,      2.3  ,       7 ,       11 ,"11906164,11535622,10949023,10891348,20095964,14559359,16809425"
junctophilin                          ,    1 ,      0.0  ,       8 ,       11 ,"12729900,22927069,21339484,10891348,28393127,31315980,23148318,33871019"
ryanodine                             ,    1 ,      1.36 ,       8 ,       11 ,"19095005,17509612,20095964,16809425,35053257,28473402,32053184,22404946"
morn                                  ,    1 ,      3.05 ,       3 ,       11 ,"31904168,31337710,31315980"
cys                                   ,    2 ,      2.21 ,       6 ,       11 ,"31337710,20381631,20211754,12161445,18172504,25906064"
rcmvecs                               ,    1 ,      0.0  ,       1 ,       11 ,31133884
conjugate                             ,    3 ,      2.86 ,       8 ,       11 ,"29540307,31888678,19596686,16139798,28953965,19345687,1383159,12724356"
thymosin-beta                         ,    1 ,      1.53 ,       1 ,       11 ,3500230
mir-183                               ,    1 ,      3.22 ,       1 ,       11 ,33356743
aplysia                               ,    2 ,      1.7  ,       4 ,       11 ,"16237720,16924592,17190607,19995576"
hsps                                  ,    5 ,      1.64 ,       6 ,       11 ,"31101113,29702669,31693902,32817453,30356767,11452028"
